Date,Time,X1,X2,X3,X4,X5,Y1,Y2,U1,U2,U3,R1,R2,R3,UY1,UY2,UY3
2022/5/1,1:16:32,-264.89,133.96,-1.8,0.91,-3.02,0,0,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,30.24,-97.82
2022/5/1,1:16:33,-267.57,135.16,-6921169.5,23762692,-3.02,-6921167.5,23762692,-3.02,-0.08,0.04,1,0.16,0.04,-3.02,-31.99,115.83
2022/5/1,1:16:34,-269.48,136.01,-6921169.5,23762692,-3.02,-6921167.5,23762692,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:35,-272.15,137.19,-6921169.5,23762692,-3.02,-6921167.5,23762692,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:36,-273.94,137.99,-6921169.5,23762692,-3.02,-6921167.5,23762692,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:37,-276.77,139.24,-6921169.5,23762692,-3.02,-6921167.5,23762692,-3.02,-0.08,0.04,1,0.16,0.04,-3.02,-31.99,115.83
2022/5/1,1:16:38,-278.55,140.03,-6921164,23762688,-3.02,-6921162,23762688,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:39,-280.35,140.82,-6921164,23762688,-3.02,-6921162,23762688,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:40,-283.03,142,-6921164,23762688,-3.02,-6921162,23762688,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:41,-284.92,142.86,-6921164,23762688,-3.02,-6921162,23762688,-3.02,-0.08,0.04,1,0.16,0.04,-3.02,-31.99,115.83
2022/5/1,1:16:42,-287.56,144.05,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.09,0.04,1,0.14,0.04,-3.02,-31.99,115.83
2022/5/1,1:16:43,-289.51,144.82,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.09,0.04,1,0.16,0.03,-3.01,-31.99,115.83
2022/5/1,1:16:44,-292.18,146.01,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.09,0.04,1,0.16,0.04,-3.01,-31.99,115.83
2022/5/1,1:16:45,-293.98,146.8,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.08,0.04,1,0.16,0.04,-3.02,-31.99,115.83
2022/5/1,1:16:46,-295.89,147.65,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:47,-298.57,148.84,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:48,-300.36,149.64,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.09,0.04,1,0.15,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:49,-303.06,150.83,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:50,-304.99,151.68,-6921161.5,23762686,-3.03,-6921159.5,23762686,-3.03,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:51,-307.81,152.93,-6921162.5,23762686,-3.02,-6921160.5,23762686,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:52,-309.59,153.72,-6921162.5,23762686,-3.02,-6921160.5,23762686,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:53,-311.38,154.52,-6921162.5,23762686,-3.02,-6921160.5,23762686,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:54,-314.07,155.7,-6921162.5,23762686,-3.02,-6921160.5,23762686,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:55,-316,156.55,-6921162.5,23762686,-3.02,-6921160.5,23762686,-3.02,-0.09,0.04,1,0.15,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:56,-318.69,157.74,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.09,0.04,1,0.15,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:57,-320.49,158.53,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:58,-323.31,159.78,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:16:59,-325.1,160.58,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.08,0.04,1,0.16,0.04,-3.02,-31.99,115.83
2022/5/1,1:17:00,-326.9,161.37,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.09,0.04,1,0.16,0.02,-3.02,-31.99,115.83
2022/5/1,1:17:01,-329.58,162.56,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.09,0.04,1,0.16,0.03,-3.02,-31.99,115.83
2022/5/1,1:17:02,-331.39,163.36,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.08,0.04,1,0.16,0.04,-3.02,-31.99,115.83
2022/5/1,1:17:03,-334.23,164.6,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.09,0.04,1,0.15,0.03,-3.02,-31.99,115.83
2022/5/1,1:17:04,-336,165.4,-6921163.5,23762688,-3.02,-6921161.5,23762688,-3.02,-0.09,0.04,1,0.15,0.03,-3.01,-31.99,115.83
2022/5/1,1:17:05,-338.82,166.65,-6921164,23762688,-3.02,-6921161.5,23762688,-3.02,-0.09,0.04,1,0.16,0.03,-3.01,-31.99,115.83
2022/5/1,1:17:06,-341.63,167.9,-6921160.5,23762688,-3.02,-6921158,23762686,-3.02,-0.1,0.04,1,0.16,0.02,-3.02,-31.99,115.83
2022/5/1,1:17:07,-342.53,168.29,-6921160.5,23762688,-3.02,-6921158,23762686,-3.02,-0.07,0.04,1,0.16,0.05,-3.02,-31.99,115.83
2022/5/1,1:17:08,-345.46,169.6,-6921160.5,23762688,-3.02,-6921158,23762686,-3.02,-0.08,0.04,1,0.16,0.04,-3.01,-31.99,115.83
2022/5/1,1:17:09,-347.42,170.45,-6921160.5,23762688,-3.02,-6921158,23762686,-3.02,-0.1,0.04,1,0.16,0.02,-3.01,-31.99,115.83
2022/5/1,1:17:10,-350.13,171.65,-6921160.5,23762688,-3.02,-6921158,23762686,-3.02,-0.09,0.04,1,0.16,0.03,-3.01,-31.99,115.83
2022/5/1,1:17:11,-351.92,172.45,-6921160.5,23762688,-3.02,-6921158,23762686,-3.02,-0.08,0.04,1,0.16,0.05,-3.01,-31.99,115.83
